CAS,Name,GenericCore,Role,CategoryHint,Token
3375-31-3,Palladium diacetate,Pd,CAT_CORE,metal,pd(oac)2
7647-10-1,Palladium chloride,Pd,CAT_CORE,metal,pdcl2
51364-51-3,Tris(dibenzylideneacetone)dipalladium,Pd,CAT_CORE,precatalyst,pd2(dba)3
12012-95-2,Di-μ-chlorobis(η3-2-propenyl)dipalladium,Pd,CAT_CORE,precatalyst,allyl palladium dimer
564483-18-7,X-Phos,,CAT_LIG,biaryl phosphine,x-phos
6163-58-2,Tri-o-tolylphosphine,,CAT_LIG,phosphine,p(o-tol)3
6737-42-4,1,3-Bis(diphenylphosphino)propane,,CAT_LIG,bidentate phosphine,dppp
12150-46-8,1,1-Bis(diphenylphosphino)ferrocene,,CAT_LIG,bidentate phosphine,dppf
131274-22-1,Tri-tert-butylphosphonium tetrafluoroborate,,CAT_LIG,salt,tBu3P·HBF4
742103-27-1,Bis(1,1-dimethylethyl)(1-methyl-2,2-diphenylcyclopropyl)phosphine,,CAT_LIG,phosphine,
