catalyst_combo_order_agnostic,hits
51364-51-3 + 98327-87-8,27
3375-31-3 + 98327-87-8,25
312959-24-3 + 32005-36-0,24
161265-03-8 + 3375-31-3,24
3375-31-3 + 950982-61-3,24
1586000-47-6,23
13716-12-6 + 3375-31-3,21
161265-03-8 + 51364-51-3,20
331465-71-5 + 3375-31-3,17
331465-71-5 + 51364-51-3,16
53199-31-8 + 57-09-0,16
884879-24-7,15
213697-53-1 + 51364-51-3,15
1246775-56-3,13
224311-51-7 + 51364-51-3,12
51364-51-3 + 857356-94-6,10
3375-31-3 + 564483-18-7,10
32005-36-0 + 908293-83-4,9
1028206-60-1 + 787618-22-8,9
51364-51-3,8
224311-51-7 + 3375-31-3,8
7440-05-3,8
3375-31-3,7
51364-51-3 + 60633-21-8,7
250285-32-6 + 51364-51-3,6
51364-51-3 + 564483-18-7,6
868705-03-7,5
1160861-53-9 + 3375-31-3 + 7732-18-5,5
3375-31-3 + 564483-18-7 + 7732-18-5,5
2622-14-2 + 3375-31-3,4
1028206-56-5,4
244187-81-3 + 3375-31-3,4
1357398-60-7 + 51364-51-3,4
51364-51-3 + 894086-00-1,4
141556-45-8 + 3375-31-3,4
282109-83-5 + 51364-51-3,4
51364-51-3 + 57620-64-1,4
51364-51-3 + 628333-86-8,3
1070663-78-3 + 51364-51-3,3
158923-11-6 + 3375-31-3,3
53199-31-8,3
1028206-60-1,3
131274-22-1 + 51364-51-3,3
12012-95-2 + 742103-27-1,3
13716-12-6 + 32005-36-0,2
1028206-56-5 + 564483-19-8,2
51364-51-3 + 603-35-0,2
3375-31-3 + 7732-18-5 + 857356-94-6,2
32005-36-0,2
32005-36-0 + 908350-73-2,2
1028206-56-5 + 564483-18-7,2
3375-31-3 + 657408-07-6,2
250285-32-6 + 3375-31-3,2
13716-12-6 + 51364-51-3,2
51364-51-3 + 628333-84-6,2
247940-06-3 + 51364-51-3,2
12012-95-2 + 12092-47-6 + 564483-18-7,1
101069-13-0 + 51364-51-3,1
12150-46-8 + 3375-31-3,1
3375-31-3 + 98-80-6,1
247940-06-3 + 3375-31-3,1
564483-18-7 + 7440-05-3,1
32005-36-0 + 84783-64-2,1
166330-10-5 + 51364-51-3,1
16872-11-0 + 51364-51-3 + 98327-87-8,1
14221-01-3,1
166330-10-5 + 3375-31-3,1
1160861-53-9 + 51364-51-3 + 7732-18-5,1
312959-24-3 + 3375-31-3,1
3375-31-3 + 498-66-8 + 603-35-0,1
3375-31-3 + 76189-56-5,1
3375-31-3 + 60633-21-8,1
1070663-78-3 + 3375-31-3,1
161265-03-8 + 32005-36-0,1
1359986-21-2 + 1359986-22-3 + 51364-51-3,1
51364-51-3 + 787618-22-8,1
12012-95-2 + 1309573-60-1 + 742103-27-1,1
251320-86-2 + 32005-36-0,1
250285-32-6 + 3375-31-3 + 7681-65-4,1
250285-32-6 + 3375-31-3 + 865-48-5,1
32005-36-0 + 98327-87-8,1
51364-51-3 + 628333-81-3,1
213697-53-1 + 3375-31-3,1
12012-95-2 + 564483-19-8,1
