Catalyst combo,Reactions,Br %,Cl %,I %,Heteroaryl %,Single ortho %,Double ortho %,Primary alkyl %,Primary aryl %,Secondary alkyl %,Secondary aryl %
51364-51-3 + 98327-87-8,27,92.6,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3375-31-3 + 98327-87-8,25,72.0,12.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3375-31-3 + 950982-61-3,24,45.8,41.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161265-03-8 + 3375-31-3,24,87.5,12.5,4.2,0.0,0.0,0.0,0.0,0.0,33.3,0.0
312959-24-3 + 32005-36-0,24,33.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1586000-47-6,23,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13716-12-6 + 3375-31-3,21,81.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161265-03-8 + 51364-51-3,20,80.0,5.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331465-71-5 + 3375-31-3,17,94.1,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53199-31-8 + 57-09-0,16,37.5,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331465-71-5 + 51364-51-3,16,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
884879-24-7,15,46.7,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213697-53-1 + 51364-51-3,15,66.7,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246775-56-3,13,61.5,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224311-51-7 + 51364-51-3,12,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3375-31-3 + 564483-18-7,10,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51364-51-3 + 857356-94-6,10,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
